Id,Nombre,Estado,Cliente,Proveedor,Fecha de creación,Fecha última modificación,Código cliente,Código proveedor,Código contable,SupplierAccountancyCode,Dirección,Código postal,Población,País,Código país,Teléfono,Fax,Url,Email,Idioma por defecto,ID profesional 1,ID profesional 2,ID profesional 3,ID profesional 4,ID profesional 5,ID profesional 6,NIF intra.,Capital,Nota (privada),Nota (pública),Tipo de tercero,Empleados,Forma jurídica,Cliente potencial,Estado cliente potencial,Provincia,
1,Crichigno,1,1,0,2016-07-03 15:00:23,2016-07-03 12:05:26,clie001,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
2,Dicopar,1,1,0,2016-07-03 15:00:43,2016-07-03 08:00:43,,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
3,Pronet,1,1,0,2016-07-03 15:00:56,2016-07-03 08:00:56,,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
4,Datos.com.py,1,1,0,2016-07-03 19:25:46,2016-07-03 12:25:46,clie003,,,,,,,Paraguay,PY,,,,,,,,,,,,,0,,,-,,,,ST_NEVER,,
581,RETAIL S.A,1,2,0,,2016-07-03 19:34:43,,,,,TTE.CASCO Y BOGGIANI,,,-,,623-774/612-812,,,,,,,,,,,80016096-7,,,,-,EF0,-,,ST_NEVER,,
582,CADENA FARMACENTER S.A,1,2,0,,2016-07-03 19:34:43,,,,,Leon Fragnaud 790 c/ Pacheco,,,-,,601-656/607-008/602-,,,,,,,,,,,80019551-5,,,,-,EF0,-,,ST_NEVER,,
583,PUMA ENERGY PARAGUAY S.A.,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.ESPANA 1404.,,,-,,6899000,,,,,,,,,,,80027277-3,,,,-,EF0,-,,ST_NEVER,,
584,COMFAR S.A.E.C.A,1,2,0,,2016-07-03 19:34:43,,,,,ARTIGAS 2315 Y SGTO-FERNANDEZ,,,-,,292031,,,,,,,,,,,80011726-3,,,,-,EF0,-,,ST_NEVER,,
585,AGRIPLUS S.A.,1,2,0,,2016-07-04 19:45:54,,,,,Avda. PRIMER PTTE. 3558,,,-,,280494/281590,,www.agriplus.com.py/,,,,,,,,,80027820-8,0,,,-,,,,ST_NEVER,,
586,PARALEVA S.A.,1,2,0,,2016-07-03 19:34:43,,,,,DR. SAMUEL PERES 679 C/ MISIONES,,,-,,220412/220415,,,,,,,,,,,80010811-6,,,,-,EF0,-,,ST_NEVER,,
587,INFORCOM S.A.,1,2,0,,2016-07-03 19:34:43,,,,,Manuel Dominguez 344,,,-,,449177,,,,,,,,,,,80019467-5,,,,-,EF0,-,,ST_NEVER,,
588,DISTRIMOTOR S.A,1,2,0,,2016-07-03 19:34:43,,,,,Eusebio Ayala c/ Boggiani,,,-,,524438,,,,,,,,,,,80015033-3,,,,-,EF0,-,,ST_NEVER,,
589,PARAGUAY REFRESCOS S.A.,1,2,0,,2016-07-03 19:34:43,,,,,RUTA Ã?EMBY KM 3.5,,,-,,959-1277/ 9591300,,,,,,,,,,,80003400-7,,,,-,EF0,-,,ST_NEVER,,
590,YACYRETA GAS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,RUTA 1 KM 224,,,-,,990-301;5,,,,,,,,,,,80008847-6,,,,-,EF0,-,,ST_NEVER,,
591,AUTOMOVIL SUPPLY S.A,1,2,0,,2016-07-03 19:34:43,,,,,HUMAITA 299,,,-,,448-656/f:491-490,,,,,,,,,,,80001129-5,,,,-,EF0,-,,ST_NEVER,,
592,BENITEZ CODAS & ASOCIADOS,1,2,0,,2016-07-03 19:34:43,,,,,BRASILIA ESQ/BRUGADA,,,-,,212-505,,,,,,,,,,,80022038-2,,,,-,EF0,-,,ST_NEVER,,
593,CONDOR S.A.C.I,1,2,0,,2016-07-03 19:34:43,,,,,BERNARD GOROST.C/GUARANIES,,,-,,569-7000,,,,,,,,,,,80002514-8,,,,-,EF0,-,,ST_NEVER,,
594,MICKEY S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,AVDA. FELIX BOGADO,,,-,,,,,,,,,,,,,80001567-3,,,,-,EF0,-,,ST_NEVER,,
595,DATA SYSTEMS S.A,1,2,0,,2016-07-03 19:34:43,,,,,AVDA.PERU Y ARTIGAS,,,-,,213-347/8,,,,,,,,,,,80013889-9,,,,-,EF0,-,,ST_NEVER,,
596,ACARAY GAS S.R.L,1,2,0,,2016-07-03 19:34:43,,,,,RUTA2 KM 131,,,-,,211-124,,,,,,,,,,,80006098-9,,,,-,EF0,-,,ST_NEVER,,
597,ARP-COLCAT,1,2,0,,2016-07-03 19:34:43,,,,,RUTA TRANSCHACO KM 14,,,-,,755-958/ 754-119,,,,,,,,,,,80021518-4,,,,-,EF0,-,,ST_NEVER,,
598,BOARDING PASS,1,2,0,,2016-07-03 19:34:43,,,,,MALUTIN 345,,,-,,608-508,,,,,,,,,,,80026740-0,,,,-,EF0,-,,ST_NEVER,,
